SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
5261,"75","1","PreSchool","","1975","PreSchool Set",,16,,,,,"http://images.brickset.com/sets/images/75-1.jpg","No","No",0
5262,"77","1","PreSchool","","1975","PreSchool Set",,20,,,,,"http://images.brickset.com/sets/images/77-1.jpg","No","No",0
5263,"78","1","PreSchool","","1975","PreSchool Set",,32,,,,,,"No","No",0
22707,"78","3","Samsonite","Basic","1975","Basic Set",,330,,,,,,"No","No",0
7985,"133","1","Trains","4.5/12 V","1975","Locomotive",,87,,,,,"http://images.brickset.com/sets/images/133-1.jpg","No","No",0
252,"134","1","Trains","4.5/12 V","1975","Mobile Crane and Wagon",,86,2.4,,,,"http://images.brickset.com/sets/images/134-1.jpg","No","No",0
261,"136","1","Trains","4.5/12 V","1975","Tanker Wagon",,83,1.55,,,,"http://images.brickset.com/sets/images/136-1.jpg","No","No",0
7437,"137","2","Trains","4.5/12 V","1975","Passenger sleeping car",,82,,,,,"http://images.brickset.com/sets/images/137-2.jpg","No","No",0
352,"148","1","Trains","4.5/12 V","1975","Station",5,293,,,,,"http://images.brickset.com/sets/images/148-1.jpg","No","No",0
608,"182","1","Trains","4.5/12 V","1975","Train Set with Motor",,369,,,,,"http://images.brickset.com/sets/images/182-1.jpg","No","No",0
5244,"190","1","Building Set with People","","1975","Farm Set",,526,,,,,"http://images.brickset.com/sets/images/190-1.jpg","No","No",0
5269,"195","1","Building Set with People","","1975","Airplane",,89,,,,,"http://images.brickset.com/sets/images/195-1.jpg","No","No",0
931,"253","1","Building Set with People","","1975","Helicopter and Pilot",,1,1.25,,,,"http://images.brickset.com/sets/images/253-1.jpg","No","No",0
7438,"254","1","Building Set with People","","1975","Family",,103,1.55,,,,"http://images.brickset.com/sets/images/254-1.jpg","No","No",0
7439,"255","1","Building Set with People","","1975","Farming Scene",,,2.05,,,,"http://images.brickset.com/sets/images/255-1.jpg","No","No",0
6539,"362","1","LEGOLAND","","1975","Windmill",2,215,,,,,"http://images.brickset.com/sets/images/362-1.jpg","No","No",0
6368,"363","1","LEGOLAND","","1975","Hospital",7,36,3.75,,,,"http://images.brickset.com/sets/images/363-1.jpg","No","No",0
7440,"364","1","LEGOLAND","","1975","Harbour",7,518,8.85,,,,"http://images.brickset.com/sets/images/364-1.jpg","No","No",0
7441,"365","1","LEGOLAND","","1975","Wild West",5,602,8.85,,,,"http://images.brickset.com/sets/images/365-1.jpg","No","No",0
6023,"367","1","LEGOLAND","","1975","Space Module with Astronauts",,364,3.95,,,,"http://images.brickset.com/sets/images/367-1.jpg","No","No",0
6024,"390","2","Hobby Set","","1975","1913 Cadillac",,200,2.55,,,,"http://images.brickset.com/sets/images/390-2.jpg","No","No",0
6025,"391","1","Hobby Set","","1975","1926 Renault",,237,3.4,,,,"http://images.brickset.com/sets/images/391-1.jpg","No","No",0
6026,"392","1","Hobby Set","","1975","Formula 1",,197,3.9,,,,"http://images.brickset.com/sets/images/392-1.jpg","No","No",0
5275,"430","1","LEGOLAND","","1975","Biplane",,18,,,,,"http://images.brickset.com/sets/images/430-1.jpg","No","No",0
5276,"480","1","LEGOLAND","","1975","Rescue Helicopter",,62,,,,,"http://images.brickset.com/sets/images/480-1.jpg","No","No",0
5278,"490","1","LEGOLAND","","1975","Mobile Crane",,46,,,,,"http://images.brickset.com/sets/images/490-1.jpg","No","No",0
7443,"516","1","Duplo","","1975","Bricks and half bricks",,20,1.1,,,,"http://images.brickset.com/sets/images/516-1.jpg","No","No",0
7444,"517","1","Duplo","","1975","Bricks and half bricks and arches",,121,1.45,,,,"http://images.brickset.com/sets/images/517-1.jpg","No","No",0
7445,"518","1","Duplo","","1975","Bricks and half bricks and trolley",,17,1.45,,,,"http://images.brickset.com/sets/images/518-1.jpg","No","No",0
7446,"519","1","Duplo","","1975","Bricks and half bricks and arches and trolley",,240,1.95,,,,"http://images.brickset.com/sets/images/519-1.jpg","No","No",0
7447,"520","2","Duplo","","1975","Bricks and half bricks and two tolleys",,168,2.45,,,,"http://images.brickset.com/sets/images/520-2.jpg","No","No",0
7449,"521","1","Duplo","","1975","Bricks and half bricks all colours",,640,3.75,,,,"http://images.brickset.com/sets/images/521-1.jpg","No","No",0
5284,"580","1","LEGOLAND","","1975","Brick Yard",,216,,,,,"http://images.brickset.com/sets/images/580-1.jpg","No","No",0
6174,"615","2","LEGOLAND","Vehicle","1975","Forklift",1,21,,14.95,,,"http://images.brickset.com/sets/images/615-2.jpg","No","No",0
5098,"659","1","LEGOLAND","","1975","Police Patrol",2,49,,,,,"http://images.brickset.com/sets/images/659-1.jpg","No","No",0
5107,"660","1","LEGOLAND","","1975","Air Transporter",,39,,,,,"http://images.brickset.com/sets/images/660-1.jpg","No","No",0
5099,"692","1","LEGOLAND","","1975","Road Repair Crew",2,57,1.2,,,,"http://images.brickset.com/sets/images/692-1.jpg","No","No",0
5095,"693","1","LEGOLAND","","1975","Fire Engine",3,72,1.2,,,,"http://images.brickset.com/sets/images/693-1.jpg","No","No",0
6700,"694","1","LEGOLAND","Vehicle","1975","Transport Truck",,65,1.2,,,,"http://images.brickset.com/sets/images/694-1.jpg","No","No",0
5231,"760","2","LEGOLAND","","1975","London Bus",,110,,49,,,"http://images.brickset.com/sets/images/760-2.jpg","No","No",0
7442,"814","2","Building Set with People","","1975","Tractor",,93,2.35,,,,"http://images.brickset.com/sets/images/814-2.jpg","No","No",0
9532,"BB173","1","Gear","Storage","1975","Holdall Storage Bag",,,,,,,,"No","No",0
9361,"SUPSET1","1","Universal Building Set","","1975","Super Set",,,15.85,,,,,"No","No",0
5267,"125","2","Universal Building Set","","1974","Universal Building Set",,,,,,,"http://images.brickset.com/sets/images/125-2.jpg","No","No",0
5243,"145","1","Universal Building Set","","1974","Universal Building Set",,338,,,,,"http://images.brickset.com/sets/images/145-1.jpg","No","No",0
5270,"196","1","Building Set with People","","1974","Antique Car",,115,,,,,"http://images.brickset.com/sets/images/196-1.jpg","No","No",0
5108,"200","1","Building Set with People","","1974","LEGO Family",,78,1.25,5,,,"http://images.brickset.com/sets/images/200-1.jpg","No","No",0
7962,"243","1","Gear","Books/Miscellaneous","1974","Mach Mehr aus LEGO",,,,,,,,"No","No",0
7964,"250","3","Building Set with People","","1974","Aeroplane and pilot",,90,1.4,,,,"http://images.brickset.com/sets/images/250-3.jpg","No","No",0
7965,"251","1","Building Set with People","","1974","Windmill with miller and wife",,92,1.85,,,,"http://images.brickset.com/sets/images/251-1.jpg","No","No",0
7966,"252","1","Building Set with People","","1974","Locomotive with driver and passenger",,121,2.4,,,,"http://images.brickset.com/sets/images/252-1.jpg","No","No",0
7967,"263","1","Homemaker","","1974","Kitchen",,257,2.45,9,,,"http://images.brickset.com/sets/images/263-1.jpg","No","No",0
6728,"264","1","Homemaker","","1974","Living Room",,242,2.45,,,,"http://images.brickset.com/sets/images/264-1.jpg","No","No",0
1000,"265","1","Homemaker","","1974","Bathroom",,147,1.85,,,,"http://images.brickset.com/sets/images/265-1.jpg","No","No",0
7968,"266","1","Homemaker","","1974","Children's room",,235,,,,,"http://images.brickset.com/sets/images/266-1.jpg","No","No",0
7969,"274","1","Homemaker","","1974","Colour TV and chair",,68,0.5,,,,"http://images.brickset.com/sets/images/274-1.jpg","No","No",0
7970,"275","1","Homemaker","","1974","Table and chairs",,92,0.5,,,,"http://images.brickset.com/sets/images/275-1.jpg","No","No",0
7971,"294","1","Homemaker","","1974","Wall unit",,63,0.85,,,,"http://images.brickset.com/sets/images/294-1.jpg","No","No",0
7972,"295","1","Homemaker","","1974","Secretary's desk",,128,0.85,,,,"http://images.brickset.com/sets/images/295-1.jpg","No","No",0
5102,"360","1","LEGOLAND","","1974","Gravel Works",,211,4.55,14,,,"http://images.brickset.com/sets/images/360-1.jpg","No","No",0
1677,"361","1","LEGOLAND","Town","1974","Tea Garden Cafe",,209,2.45,,,,"http://images.brickset.com/sets/images/361-1.jpg","No","No",0
5101,"612","1","LEGOLAND","","1974","Tipper Truck",,23,0.38,,,,"http://images.brickset.com/sets/images/612-1.jpg","No","No",0
3074,"613","1","LEGOLAND","Town","1974","Bi-plane",,18,0.38,,,,"http://images.brickset.com/sets/images/613-1.jpg","No","No",0
6328,"614","2","LEGOLAND","","1974","Digger",,31,0.38,,,,"http://images.brickset.com/sets/images/614-2.jpg","No","No",0
6332,"656","1","LEGOLAND","","1974","Car and Caravan",,52,,,,,"http://images.brickset.com/sets/images/656-1.jpg","No","No",0
6333,"657","1","LEGOLAND","","1974","Aircraft",,37,0.65,,,,"http://images.brickset.com/sets/images/657-1.jpg","No","No",0
7894,"658","1","LEGOLAND","Vehicle","1974","Fire Engine",,38,0.65,,,,"http://images.brickset.com/sets/images/658-1.jpg","No","No",0
6336,"689","1","LEGOLAND","","1974","Grabber",,46,0.98,,,,"http://images.brickset.com/sets/images/689-1.jpg","No","No",0
6337,"690","1","LEGOLAND","","1974","Shell Garage",,73,0.98,,,,"http://images.brickset.com/sets/images/690-1.jpg","No","No",0
7929,"691","1","LEGOLAND","Town","1974","Rescue Helicopter",,62,0.98,,,,"http://images.brickset.com/sets/images/691-1.jpg","No","No",0
7981,"723","2","Trains","4.5/12 V","1974","Diesel Locomotive with DB sticker",,98,,,,,"http://images.brickset.com/sets/images/723-2.jpg","No","No",0
6735,"725","2","Trains","4.5/12 V","1974","Freight Train Set",,425,,,,,"http://images.brickset.com/sets/images/725-2.jpg","No","No",0
3916,"741","1","Trains","4.5/12 V","1974","12 V Transformer",,1,,,,,"http://images.brickset.com/sets/images/741-1.jpg","No","No",0
6738,"755","1","Trains","4.5/12 V","1974","Left and Right Points",,12,,,,,"http://images.brickset.com/sets/images/755-1.jpg","No","No",0
7973,"756","1","Trains","4.5/12 V","1974","Electric crossing",,5,,,,,"http://images.brickset.com/sets/images/756-1.jpg","No","No",0
7974,"789","2","Gear","Storage","1974","Suitcase, red",,,,,,,,"No","No",0
7975,"790","1","Gear","Storage","1974","Suitcase, blue",,,,,,,,"No","No",0
7976,"810","3","Universal Building Set","Gears","1974","Gear set",,114,3.6,,,,"http://images.brickset.com/sets/images/810-3.jpg","No","No",0
7977,"811","2","Universal Building Set","Gears","1974","Gear set",,177,,,,,"http://images.brickset.com/sets/images/811-2.jpg","No","No",0
6338,"812","2","Universal Building Set","","1974","Gear Set",,60,,,,,"http://images.brickset.com/sets/images/812-2.jpg","No","No",0
6339,"813","2","LEGOLAND","","1974","Tractor",,100,2.55,,,,"http://images.brickset.com/sets/images/813-2.jpg","No","No",0
7946,"941","1","Basic","Supplementaries","1974","Black and Clear Bricks",,48,,,,,"http://images.brickset.com/sets/images/941-1.jpg","No","No",0
7980,"1552","2","LEGOLAND","","1974","Sterling Boeing 727",,49,,,,,"http://images.brickset.com/sets/images/1552-2.jpg","No","No",0
485,"1650","1","LEGOLAND","","1974","Maersk Line Container Ship",,220,,,,,"http://images.brickset.com/sets/images/1650-1.jpg","No","No",0
7465,"1","7","Universal Building Set","","1973","Basic Set",,107,,,,,"http://images.brickset.com/sets/images/1-7.jpg","No","No",0
7466,"2","7","Universal Building Set","","1973","Basic Set",,184,,,,,"http://images.brickset.com/sets/images/2-7.jpg","No","No",0
7467,"3","4","Universal Building Set","","1973","Basic Set",,184,,,,,"http://images.brickset.com/sets/images/3-4.jpg","No","No",0
7468,"4","3","Universal Building Set","","1973","Basic Set",,230,,,,,"http://images.brickset.com/sets/images/4-3.jpg","No","No",0
7469,"5","3","Universal Building Set","","1973","Basic Set",,349,,7,,,"http://images.brickset.com/sets/images/5-3.jpg","No","No",0
7470,"6","3","Universal Building Set","","1973","Basic Set",,349,,,,,"http://images.brickset.com/sets/images/6-3.jpg","No","No",0
7471,"7","3","Universal Building Set","","1973","Basic Set",,415,,16,,,"http://images.brickset.com/sets/images/7-3.jpg","No","No",0
7239,"8","3","Universal Building Set","","1973","Basic Set #8",,776,,19,,,"http://images.brickset.com/sets/images/8-3.jpg","No","No",0
7530,"010","2","Duplo","","1973","Pre-School Set",,17,,,,,,"No","No",0
7700,"11","2","Minitalia","","1973","Small pre-school set",,32,,,,,"http://images.brickset.com/sets/images/11-2.jpg","No","No",0
7701,"12","2","Minitalia","","1973","Medium pre-school set",,,,,,,"http://images.brickset.com/sets/images/12-2.jpg","No","No",0
7702,"13","2","Minitalia","","1973","Large pre-school set",,,,,,,"http://images.brickset.com/sets/images/13-2.jpg","No","No",0
7703,"14","3","Minitalia","","1973","Small house set",,,,,,,"http://images.brickset.com/sets/images/14-3.jpg","No","No",0
7704,"15","2","Minitalia","","1973","Large house set",,157,,,,,"http://images.brickset.com/sets/images/15-2.jpg","No","No",0
7705,"16","2","Minitalia","","1973","City square",,,,,,,"http://images.brickset.com/sets/images/16-2.jpg","No","No",0
7706,"17","2","Minitalia","","1973","Airport",,,,,,,"http://images.brickset.com/sets/images/17-2.jpg","No","No",0
7531,"020","2","Duplo","","1973","Building Set",,25,,,,,,"No","No",0
7532,"030","2","Duplo","","1973","Building Set",,29,,,,,,"No","No",0
7711,"30","2","Minitalia","","1973","Small ship",,26,,,,,"http://images.brickset.com/sets/images/30-2.jpg","No","No",0
7712,"31","1","Minitalia","","1973","Medium ship",,39,,,,,"http://images.brickset.com/sets/images/31-1.jpg","No","No",0
7713,"32","2","Minitalia","","1973","Large ship",,57,,,,,"http://images.brickset.com/sets/images/32-2.jpg","No","No",0
22706,"88","2","Samsonite","Basic","1973","88 Piece Set",,88,,,,,"http://images.brickset.com/sets/images/88-2.jpg","No","No",0
5265,"105","2","Universal Building Set","","1973","Building Set",,149,,,,,"http://images.brickset.com/sets/images/105-2.jpg","No","No",0
7959,"112","3","Basic","","1973","40x40 baseplate",,2,,,,,,"No","No",0
5266,"115","1","Universal Building Set","","1973","Building Set",,190,,,,,"http://images.brickset.com/sets/images/115-1.jpg","No","No",0
5237,"135","1","Universal Building Set","","1973","Building Set",,338,,,,,"http://images.brickset.com/sets/images/135-1.jpg","No","No",0
5186,"221","1","Gear","Books/Ideas book","1973","Idea Book #1",,,,,,,"http://images.brickset.com/sets/images/221-1.jpg","No","No",0
7536,"270","2","Homemaker","","1973","Grandfather Clock, Chair and Table",,47,0.45,,,,"http://images.brickset.com/sets/images/270-2.jpg","No","No",0
7537,"271","1","Homemaker","","1973","Baby's Cot and Cabinet",,49,0.45,,,,"http://images.brickset.com/sets/images/271-1.jpg","No","No",0
7538,"272","1","Homemaker","","1973","Dressing Table with Mirror",,32,0.45,,,,"http://images.brickset.com/sets/images/272-1.jpg","No","No",0
7539,"273","1","Homemaker","","1973","Bureau",,23,0.45,,,,"http://images.brickset.com/sets/images/273-1.jpg","No","No",0
7540,"290","2","Homemaker","","1973","Dining Suite",,114,0.75,,,,"http://images.brickset.com/sets/images/290-2.jpg","No","No",0
7947,"291","1","Homemaker","","1973","Blackboard and School Desk",,90,0.75,,,,"http://images.brickset.com/sets/images/291-1.jpg","No","No",0
7948,"292","1","Homemaker","","1973","Kitchen Sink and Cupboards",,59,0.75,,,,"http://images.brickset.com/sets/images/292-1.jpg","No","No",0
7949,"293","1","Homemaker","","1973","Piano",,131,0.75,,,,"http://images.brickset.com/sets/images/293-1.jpg","No","No",0
6695,"310","3","LEGOLAND","Boats","1973","Tugboat",,183,1.2,,,,"http://images.brickset.com/sets/images/310-3.jpg","No","No",0
7950,"311","1","LEGOLAND","Boats","1973","Ferry",,83,1.6,,,,"http://images.brickset.com/sets/images/311-1.jpg","No","No",0
5104,"312","3","LEGOLAND","","1973","Cargo Ship",,59,1.85,,,,"http://images.brickset.com/sets/images/312-3.jpg","No","No",0
6021,"356","1","LEGOLAND","","1973","Italian Villa",,150,1.65,,,,"http://images.brickset.com/sets/images/356-1.jpg","No","No",0
6483,"357","1","LEGOLAND","","1973","Legoland Fire House",,239,2.95,,,,"http://images.brickset.com/sets/images/357-1.jpg","No","No",0
6022,"358","1","LEGOLAND","","1973","Rocket Base",,276,2.95,,,,"http://images.brickset.com/sets/images/358-1.jpg","No","No",0
6730,"381","1","LEGOLAND","Vehicle","1973","Lorry and Fork Lift Truck",,86,1.25,,,,"http://images.brickset.com/sets/images/381-1.jpg","No","No",0
7943,"382","1","LEGOLAND","","1973","Breakdown Truck and Car",,91,1.65,,,,"http://images.brickset.com/sets/images/382-1.jpg","No","No",0
7951,"383","1","LEGOLAND","","1973","Truck with Excavator",,112,1.95,,,,"http://images.brickset.com/sets/images/383-1.jpg","No","No",0
5407,"384","1","LEGOLAND","Town","1973","London Bus",,110,1.65,,,,"http://images.brickset.com/sets/images/384-1.jpg","No","No",0
5232,"410","1","LEGOLAND","","1973","Payloader",,26,,,,,"http://images.brickset.com/sets/images/410-1.jpg","No","No",0
6729,"420","1","LEGOLAND","Vehicle","1973","Police Car",,19,,,,,"http://images.brickset.com/sets/images/420-1.jpg","No","No",0
7955,"450","1","LEGOLAND","","1973","Fork lift",,46,,,,,"http://images.brickset.com/sets/images/450-1.jpg","No","No",0
7956,"460","1","LEGOLAND","","1973","Rescue Units",,42,,,,,"http://images.brickset.com/sets/images/460-1.jpg","No","No",0
9360,"508","2","Duplo","","1973","Kindergarten Set",,,8.75,,,,,"No","No",0
7944,"515","2","Duplo","","1973","Building set",,31,,,,,"http://images.brickset.com/sets/images/515-2.jpg","No","No",0
7960,"540","3","LEGOLAND","","1973","Swiss villa",,155,,,,,"http://images.brickset.com/sets/images/540-3.jpg","No","No",0
7957,"545","2","LEGOLAND","","1973","Conveyor Station",,173,,,,,,"No","No",0
7551,"560","2","LEGOLAND","Building","1973","Police Heliport",,169,,,,,"http://images.brickset.com/sets/images/560-2.jpg","No","No",0
5283,"570","1","LEGOLAND","","1973","Fire House",,239,,,,,"http://images.brickset.com/sets/images/570-1.jpg","No","No",0
7952,"610","1","LEGOLAND","","1973","VIntage car",,41,0.33,,,,"http://images.brickset.com/sets/images/610-1.jpg","No","No",0
6696,"611","1","LEGOLAND","Vehicle","1973","Police Car",,19,0.33,,,,"http://images.brickset.com/sets/images/611-1.jpg","No","No",0
6175,"653","1","LEGOLAND","Vehicle","1973","Ambulance and Helicopter",,37,0.55,,,,"http://images.brickset.com/sets/images/653-1.jpg","No","No",0
7954,"654","1","LEGOLAND","","1973","Crane Truck",,36,0.55,,,,"http://images.brickset.com/sets/images/654-1.jpg","No","No",0
7953,"655","1","LEGOLAND","","1973","Mobile Hydraulic Joist",,36,0.55,,,,"http://images.brickset.com/sets/images/655-1.jpg","No","No",0
6334,"686","1","LEGOLAND","","1973","Digger and Tippers",,70,0.88,,,,"http://images.brickset.com/sets/images/686-1.jpg","No","No",0
5097,"687","1","LEGOLAND","","1973","Caravelle Aeroplane",,49,0.88,,,,"http://images.brickset.com/sets/images/687-1.jpg","No","No",0
